Date/Time;Environment:Site Outdoor Air Drybulb Temperature [C](Hourly);ZONE ONE:Zone Air Temperature [C](Hourly);ERV_1_HX:Heat Exchanger Total Heating Rate [W](Hourly);ERV_1_FANSUPPLY:Fan Electric Power [W](Hourly);ERV_1_FANSUPPLY:Fan Air Mass Flow Rate [kg/s](Hourly);ERV_1_FANEXHAUST:Fan Electric Power [W](Hourly);ERV_1_FANEXHAUST:Fan Air Mass Flow Rate [kg/s](Hourly);RADIATOR:Baseboard Total Heating Rate [W](Hourly);RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly);RADIATOR:Baseboard Water Inlet Temperature [C](Hourly);RADIATOR:Baseboard Water Outlet Temperature [C](Hourly);DISTRICT HEATING 1:District Heating Rate [W](Hourly);DISTRICT HEATING 1:District Heating Inlet Temperature [C](Hourly);DISTRICT HEATING 1:District Heating Outlet Temperature [C](Hourly);DISTRICT HEATING 1:District Heating Mass Flow Rate [kg/s](Hourly);DistrictHeating:Facility [J](Hourly) 
 01/27  01:00:00;-17;16.24896472;0;0;0;0;0;0;0;59.81990097;59.81990097;0;49.92678005;49.92678005;0;43200
 01/27  02:00:00;-17;16.06113323;0;0;0;0;0;0;0;59.81990097;59.81990097;0;49.92678005;49.92678005;0;43200
 01/27  03:00:00;-17;15.99602444;0;0;0;0;0;0;0;59.81990097;59.81990097;0;49.92678005;49.92678005;0;43200
 01/27  04:00:00;-17;15.86649706;0;0;0;0;0;0;0;59.81990097;59.81990097;0;49.92678005;49.92678005;0;43200
 01/27  05:00:00;-16.9;15.65167383;0;0;0;0;0;0;0;59.81990097;59.81990097;0;49.92678005;49.92678005;0;43200
 01/27  06:00:00;-16.7;19.52759876;0;0;0;0;0;1160.863758;0.038541741;59.79116473;49.62818591;1595.324244;49.88817214;59.83851335;0.038541741;5786367.279
 01/27  07:00:00;-16.6;19.98753697;0;0;0;0;0;1052.112103;0.04132391;59.76556564;49.86825143;1687.136903;49.92392297;59.7411553;0.04132391;6275292.85
 01/27  08:00:00;-15.8;20.1014907;0;0;0;0;0;971.4237485;0.036480654;59.82177946;49.71906152;1544.417126;49.87431433;60;0.036480654;5912701.653
 01/27  09:00:00;-15;17.77407107;0;0;0;0;0;1137.894526;0.0499949;59.76874193;49.98453257;2000;49.93613687;59.50423125;0.0499949;7502400
 01/27  10:00:00;-14.2;17.6045585;0;0;0;0;0;1298.052193;0.0499949;59.63754414;49.63528389;2000;49.86884445;59.43696964;0.0499949;7430400
 01/27  11:00:00;-13.1;18.23166002;0;0;0;0;0;1277.397866;0.0499949;59.53287428;49.75881245;2000;49.81909715;59.38724511;0.0499949;7394400
 01/27  12:00:00;-12.1;18.63216587;0;0;0;0;0;1255.145718;0.0499949;59.47270382;49.86412752;2000;49.84667832;59.41481365;0.0499949;7437600
 01/27  13:00:00;-11;18.82571906;0;0;0;0;0;1235.179801;0.0499949;59.46275177;49.93151106;2000;49.90607463;59.47418277;0.0499949;7495200
 01/27  14:00:00;-10.7;18.73941366;0;0;0;0;0;1230.862528;0.0499949;59.48120271;49.99732676;2000;49.9633648;59.53144672;0.0499949;7452000
 01/27  15:00:00;-10.5;18.63504693;0;0;0;0;0;1228.35584;0.0499949;59.51466598;50.00941955;2000;50.01117787;59.57923279;0.0499949;7444800
 01/27  16:00:00;-10.2;18.57764321;0;0;0;0;0;1233.044249;0.0499949;59.55037998;50.01332202;2000;50.04084343;59.60887119;0.0499949;7408800
 01/27  17:00:00;-9.8;18.6383346;0;0;0;0;0;1236.47899;0.0499949;59.58108813;50.02267192;2000;50.0602363;59.62824632;0.0499949;7430400
 01/27  18:00:00;-9.4;19.12607551;0;0;0;0;0;1241.49005;0.0499949;59.6080867;50.09193346;2000;50.08543876;59.65342571;0.0499949;7560000
 01/27  19:00:00;-9;20.71840102;0;0;0;0;0;897.538605;0.031813161;59.6884168;49.58180037;1326.732546;50.02187924;60;0.031813161;5129037.164
 01/27  20:00:00;-8;20.80367897;0;0;0;0;0;794.6251497;0.02999694;59.78330859;49.77235276;1261.057645;49.94507215;60;0.02999694;4827807.524
 01/27  21:00:00;-7.1;18.58056532;0;0;0;0;0;0;0;59.81997782;59.81997782;0;49.92690456;49.92690456;0;259200
 01/27  22:00:00;-6.1;18.08770315;0;0;0;0;0;0;0;59.81997782;59.81997782;0;49.92690456;49.92690456;0;324000
 01/27  23:00:00;-5.7;17.61821921;0;0;0;0;0;0;0;59.81997782;59.81997782;0;49.92690456;49.92690456;0;216000
 01/27  24:00:00;-5.4;17.19483644;0;0;0;0;0;0;0;59.81997782;59.81997782;0;49.92690456;49.92690456;0;57600
